Gene,GSM461348,GSM461349,GSM461350,GSM1634925,GSM1634926,GSM1634927,GSM1634928,GSM1634937,GSM1634938,GSM1634939,GSM1701025,GSM1701026,GSM1701027,GSM1701038,GSM1701039,GSM1701040
CASS4,12.32,23.7182,18.5982,8.962919,6.029309,7.161223,8.139071,8.009031,7.679405,6.92524,1.87947,1.95283,2.02023,3.19188,1.81145,1.92215
UBE3C,2.50829,12.7008,32.7484,4.039702,4.744791,5.198984,6.139556,5.450402,5.145474,6.20813,1.76318,1.92093,1.48129,1.80515,1.86844,1.6926
SYT16,14.1344,22.7249,32.087,8.956018,6.99743,7.117843,8.601583,5.81572,6.024638,5.97157,1.69406,1.93204,2.27424,2.123,1.72457,1.80926
AGBL3,14.3024,15.1277,11.7392,5.097598,2.830085,5.415217,4.366259,5.670076,7.400636,7.516262,1.6766,1.49878,1.67323,3.0338,1.85151,1.99507
PHTF2,5.02463,12.7228,5.44553,4.354177,4.564926,4.429124,3.543827,5.848742,6.408871,5.949155,2.48208,2.49031,2.61763,3.85916,2.7349,2.6366
EYA3,14.1766,23.0744,13.1001,4.01561,5.251568,4.7368,4.039336,8.544283,8.184753,5.390149,2.38667,2.03596,2.01968,3.65773,2.92191,2.10483
SCEL,4.47036,3.79718,7.89584,6.299306,5.72121,5.301052,6.745308,9.02874,6.778371,5.979779,1.59774,1.61426,1.59274,1.7568,2.07538,1.51111
SCEL,10.507,4.00504,5.98672,4.448455,3.322327,3.285651,4.091989,3.557003,2.695172,2.984537,1.91208,2.68062,2.29413,3.13657,2.20604,2.00799
ZNF678,8.78014,27.2713,20.7978,5.014895,9.841778,8.689261,4.909276,8.950974,7.471372,9.141022,1.99327,1.49878,1.72341,1.95491,1.57043,1.70571
EQTN,10.7208,10.4283,15.5401,7.230148,9.528463,8.110635,6.683607,8.937356,8.116298,9.212255,1.63958,1.51139,1.50484,1.50624,1.55172,1.53928
RBL1,0.220744,4.87191,4.61846,5.309648,10.4982,10.07815,5.004358,9.314181,9.346124,10.30366,2.35901,2.2156,2.72478,2.60835,2.33458,2.16329
OR2C3,11.7503,13.4181,16.9159,5.544057,6.451358,10.54202,6.754072,6.189357,7.148542,6.862442,2.08956,1.83844,2.23162,3.30241,2.26127,2.08956
ADAM22,6.17838,5.46399,7.00625,4.231799,3.22365,3.640599,4.588932,9.900801,8.442123,8.125593,1.5741,1.8429,1.72381,2.37316,1.921,1.76512
AVL9,4.86448,8.07803,8.3105,4.981833,4.417865,7.591811,5.302397,6.912814,5.830833,7.257885,1.59134,1.85067,1.84876,1.86445,1.84422,1.84062
FGF7,4.46489,9.76477,10.5126,6.523334,8.151374,7.520751,6.625762,7.66395,8.27665,9.210189,1.56555,1.69088,1.76987,2.5235,1.7342,1.75719
FGF7,11.5315,18.4483,10.8701,3.247261,3.270811,3.096246,3.601341,4.714843,3.736311,4.294338,1.54119,1.62975,1.68795,1.91952,1.76606,1.70673
KLHL3,12.7508,15.5636,15.8905,6.133167,6.998534,7.83866,6.410169,7.070724,6.486944,8.723166,1.83297,1.76916,1.86549,2.94337,1.8429,1.86363
CCDC181,10.2719,13.7234,14.9379,4.569777,3.437669,7.402793,5.755306,3.962194,3.688264,4.885631,2.09196,1.56734,1.73,2.29029,3.03903,2.5901
SLC11A1,9.45932,10.8698,15.7738,6.213472,10.06591,11.48443,6.966863,9.816401,9.508019,8.41472,1.88777,1.95043,2.10867,3.25235,2.33127,1.70036
ENTPD3,10.6133,17.8757,7.17772,6.174664,9.412089,8.304391,6.930629,9.282175,6.200632,8.995835,1.98912,1.93842,1.94356,3.63028,1.995,2.25768
FCHO2,14.3606,15.2234,11.1547,4.648692,2.98796,3.418735,2.964676,2.419448,3.018816,2.501247,2.56322,2.4583,2.66774,2.86869,4.20823,2.74051
ZNF277,9.48031,22.4185,10.3484,8.476253,7.7584,8.079361,7.57002,7.694735,5.71735,4.337787,2.55922,3.23577,3.30241,3.30241,3.53698,2.67605
TTF2,10.0487,17.817,24.2895,6.108696,6.279277,5.840713,5.546984,6.786755,7.07409,7.098054,2.31418,1.93196,1.84531,1.66488,1.68318,1.77586
DDX53,13.2128,9.91787,6.05493,9.821027,10.03879,9.854889,9.718703,9.737844,8.22187,8.352152,1.63679,1.49081,1.7472,2.22173,1.54893,1.48961
C11orf58,12.1181,26.4085,18.1488,5.237596,5.389323,6.845943,5.282136,7.390222,7.400373,8.077663,1.54119,1.65133,1.79518,3.30241,1.88166,1.62697
BAGE,14.9805,2.88623,0.266775,4.447337,4.413845,4.140615,5.118126,3.785151,3.703695,3.942592,1.70893,1.8527,1.95952,1.69301,1.96799,2.08956
SHISAL2A,14.7177,13.1844,11.5104,8.932429,9.900835,9.81861,9.253229,10.1314,9.61237,8.47921,2.60825,2.57608,2.29223,4.34568,2.43252,2.42687
